,log2fc,padj
ENSG00000283761,0.6398022312819471,0.005848602344819945
RFX7,0.6375646588697466,0.005848602344819945
HTT,0.4718358145299222,0.005848602344819945
ZNF235,0.47296226203802627,0.005877548965881209
ACVR2B,0.7628955017080239,0.005907926344526865
TRRAP,0.5203003642514226,0.005907926344526865
GSTCD,0.41889046763444426,0.005909606630414357
PARP11,0.49018050524346624,0.005909606630414357
NCBP1,0.48770762422089486,0.005909606630414357
PHAF1,0.33152368104433627,0.005909606630414357
FCF1P2,0.39118073380576734,0.0059164382154098
DOP1B,0.40263123136339285,0.005935730246535587
AKAP7,0.488962206910025,0.005950383127757865
ADA2,0.38266107229710045,0.0059616671253048484
LSP1P4,0.16162391649173902,0.005992378667068299
TBC1D8,0.43376177212636513,0.006006734132922251
TMPRSS13,0.33595618860159915,0.006006734132922251
SLC23A2,0.5179770404456443,0.006020974731282974
EPG5,0.5213497341604763,0.0060429534318399225
ZNF366,0.4149278976934132,0.0060429534318399225
SMG8,0.4084284396979778,0.0060429534318399225
AASDHPPT,0.5245824038773002,0.0060429534318399225
SLFN11,0.5547450705832286,0.0060429534318399225
PRKG2,0.3976054433746148,0.006116456504630542
NUP205,0.5413152921731506,0.006116456504630542
RPS6KC1,0.4285681171772575,0.006116456504630542
FBXO34,0.4279073738893171,0.006116456504630542
ZNF169,0.43746525082531695,0.006116456504630542
EIF4A3,0.3714257994966603,0.006116456504630542
ADPRH,0.3871963590612544,0.006116456504630542
MFSD11,0.3923470557857094,0.006116456504630542
TEX10,0.46104756180657436,0.006116456504630542
DCTD,0.5281742602038104,0.006116456504630542
HSDL1,0.45546099142411745,0.006116456504630542
PER2,0.4317929462948218,0.006129095304946226
MAPKAPK5,0.5152735642945476,0.00614774224108877
SSR3,0.47471081891284594,0.00614774224108877
MRM2,0.3972073889283818,0.00614774224108877
ZNF480,0.5991807131650329,0.00614774224108877
PCGF6,0.3981349047619227,0.00614774224108877
TCAF1P1,0.2864252488273195,0.00614774224108877
TRIAP1,0.571431943207219,0.00614774224108877
ADAT1,0.45953971223533774,0.00614774224108877
MAFB,0.49277723946055385,0.00614774224108877
ZNF189,0.473124327477894,0.00614774224108877
AK2,0.4119554762257778,0.00614774224108877
UBFD1,0.4440156739367431,0.00614774224108877
UTP25,0.4996691904851729,0.00614774224108877
CDC40,0.4795599361174654,0.006156867511837953
ZNF689,0.4004584698983491,0.006156867511837953
ADPGK,0.4234289980879371,0.006156867511837953
MAPK9,0.485608774682615,0.006156867511837953
GTF2H3,0.4814480723830745,0.006156867511837953
MRAS,0.4194566736737264,0.006156867511837953
TUBGCP3,0.3878612964907058,0.006156867511837953
SUN1,0.48976334691811196,0.006156867511837953
ZNF532,0.5623015676967555,0.006165415551391774
LY75,0.6682409181760915,0.006179578771286618
SHLD2,0.5811457726451534,0.0061801195757555565
ELK1,0.3757400314175521,0.006182591927246036
AP1B1,0.31981303039582176,0.006182591927246036
CREB3L2,0.48654350192570384,0.006187124178070242
ATG2B,0.5270681099142918,0.006191443375583095
SENP5,0.4565510034429572,0.006191443375583095
CPSF2,0.47122009242498386,0.006228053527898378
CDK6,0.5477907394985309,0.006241426141635923
GALNT2,0.33967584580317034,0.006305915541739728
CNOT1,0.4632000811274768,0.0063059829258970005
TRMT2B,0.49080890484882156,0.0063206581754343145
CNP,0.33053623214410344,0.006324246682863046
ALKBH1,0.3474050768569077,0.006353659318454306
RANBP2,0.6145474940496571,0.006391873484120834
ZNF761,0.5607151378032809,0.006391873484120834
CCDC15,0.36353589807046083,0.006408633091019742
MFSD2A,0.35937328878646624,0.006408633091019742
HEATR5B,0.5499610495145486,0.006464935585067276
ABL2,0.478294520643324,0.006477518063115559
ACADSB,0.6106292252451295,0.0065050060420225615
ZNF607,0.4673404308320046,0.0065050060420225615
COPA,0.373257515584438,0.0065050060420225615
TAFA1,0.37852752528897804,0.0065050060420225615
PIGL,0.5323454471882902,0.0065050060420225615
TSPAN17,0.36844464882917016,0.0065050060420225615
PBRM1,0.5122593729452483,0.006508192395138584
WDR27,0.5137255400435001,0.006529079838172177
CEP85,0.4646858504920117,0.006529079838172177
PIK3R4,0.44004625789400276,0.006529079838172177
RMDN3,0.3519933054487647,0.006529079838172177
METTL3,0.47069960957057333,0.006529079838172177
ZFP69B,0.3604672182830846,0.006529079838172177
GOLGA8B,0.7365697992053422,0.006564287869473599
LRRC8D,0.4345066931871555,0.0065721060571949375
GFPT1,0.5192682163843712,0.0065721060571949375
ZHX3,0.4218511106169318,0.0065721060571949375
IDE,0.4944115024207303,0.0065721060571949375
ITGA4,0.6445267298652908,0.0065721060571949375
MTIF2,0.509309820709722,0.006597068825966134
NIPSNAP3A,0.5220392656421939,0.006597068825966134
RPL10P9,-1.0664067957876135,0.006597068825966134
ZNF629,0.4111302572595439,0.006597068825966134
MED1,0.49014260340058513,0.006597068825966134
MTR,0.6593682030588406,0.006597068825966134
KIF3B,0.43418937868793783,0.006597068825966134
